date,price,unit
2025/2/11,75200,元/吨
2025/2/14,74900,元/吨
2025/2/18,75600,元/吨
2025/2/21,75450,元/吨
2025/2/25,76100,元/吨
2025/2/28,75800,元/吨
2025/3/4,76350,元/吨
2025/3/7,76700,元/吨
2025/3/11,76450,元/吨
2025/3/14,77100,元/吨
2025/3/18,77500,元/吨
2025/3/21,77250,元/吨
2025/3/25,76900,元/吨
2025/3/28,77600,元/吨
2025/4/1,77300,元/吨
2025/4/4,78200,元/吨
2025/4/8,76800,元/吨
2025/4/11,77450,元/吨
2025/4/15,78100,元/吨
2025/4/18,78600,元/吨
2025/4/22,79300,元/吨
2025/4/25,78750,元/吨
2025/4/29,77900,元/吨
2025/5/6,78200,元/吨
2025/5/9,77650,元/吨
2025/5/13,78500,元/吨
2025/5/16,78900,元/吨
2025/5/20,79400,元/吨
2025/5/23,79050,元/吨
2025/5/27,78600,元/吨
2025/5/30,78100,元/吨
2025/6/3,77700,元/吨
2025/6/6,78250,元/吨
2025/6/10,78500,元/吨
2025/6/13,78850,元/吨
2025/6/17,79200,元/吨
2025/6/20,78900,元/吨
2025/6/24,79600,元/吨
2025/6/27,80300,元/吨
2025/7/1,81500,元/吨
2025/7/4,82800,元/吨
2025/7/8,83400,元/吨
2025/7/11,82900,元/吨
2025/7/15,81600,元/吨
2025/7/18,80200,元/吨
2025/7/22,78800,元/吨
2025/7/25,77450,元/吨
2025/7/29,76300,元/吨
2025/8/1,76100,元/吨
2025/8/5,77500,元/吨
2025/8/8,78100,元/吨
2025/8/12,77350,元/吨
2025/8/15,76900,元/吨
2025/8/19,77200,元/吨
2025/8/22,77800,元/吨
2025/8/26,78400,元/吨
2025/8/29,78900,元/吨
2025/9/2,79150,元/吨
2025/9/5,79600,元/吨
2025/9/9,80300,元/吨
2025/9/12,79800,元/吨
2025/9/16,80500,元/吨
2025/9/19,81100,元/吨
2025/9/23,82400,元/吨
2025/9/26,81700,元/吨
2025/9/30,80900,元/吨
2025/10/8,81200,元/吨
2025/10/11,80800,元/吨
2025/10/14,80450,元/吨
2025/10/17,80100,元/吨
2025/10/21,81300,元/吨
2025/10/24,81050,元/吨
2025/10/28,81800,元/吨
2025/10/31,82100,元/吨
2025/11/4,82650,元/吨
2025/11/7,83900,元/吨
2025/11/11,85200,元/吨
2025/11/14,86500,元/吨
2025/11/18,88100,元/吨
2025/11/21,87400,元/吨
2025/11/25,89200,元/吨
2025/11/28,90800,元/吨
2025/12/2,92300,元/吨
2025/12/5,93700,元/吨
2025/12/9,95100,元/吨
2025/12/12,94600,元/吨
2025/12/16,96500,元/吨
2025/12/19,98400,元/吨
2025/12/23,99800,元/吨
2025/12/26,94770,元/吨
2025/12/30,96750,元/吨
2026/1/2,100460,元/吨
2026/1/6,102100,元/吨
2026/1/9,103050,元/吨
2026/1/13,103500,元/吨
2026/1/16,102400,元/吨
2026/1/20,100820,元/吨
2026/1/23,101800,元/吨
2026/1/27,101440,元/吨
2026/2/3,101140,元/吨
2026/2/6,99605,元/吨
